stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_name,location_type,stop_code
49.817611138,,-97.1516838653,https://winnipegtransit.com/stops/60140,60140,Northbound Pembina at University Crescent,0,60140
49.8181478535,,-97.151496587,https://winnipegtransit.com/stops/60141,60141,Northbound University at Pembina,0,60141
49.9349160901,,-97.1887281197,https://winnipegtransit.com/stops/30685,30685,Eastbound Tyndall at Chudley,0,30685
49.8184002294,,-97.1515286762,https://winnipegtransit.com/stops/60911,60911,Northbound University at Pembina South,0,60911
49.8178028127,,-97.1905608423,https://winnipegtransit.com/stops/60913,60913,Westbound Scurfield at Dovercourt,0,60913
49.8177537354,,-97.1902985331,https://winnipegtransit.com/stops/60912,60912,Eastbound Scurfield at Dovercourt,0,60912
49.8231667368,,-97.1514721426,https://winnipegtransit.com/stops/60914,60914,Eastbound Plaza at Pembina,0,60914
49.8219713823,,-97.1475969547,https://winnipegtransit.com/stops/60916,60916,Northbound Plaza at Plaza Terminal,0,60916
49.8232102415,,-97.1519432107,https://winnipegtransit.com/stops/60919,60919,Westbound Plaza at Pembina,0,60919
49.8451950965,,-97.130712819,https://winnipegtransit.com/stops/60797,60797,Eastbound South at Wildwood H,0,60797
49.8801144399,,-97.293230568,https://winnipegtransit.com/stops/20521,20521,Northbound Westwood at Byrd,0,20521
49.7876115899,,-97.1788624116,https://winnipegtransit.com/stops/61178,61178,Eastbound John Angus at Gelley,0,61178
49.7881153708,,-97.1748699412,https://winnipegtransit.com/stops/61179,61179,Eastbound John Angus at Brookstone,0,61179
49.8271909487,,-97.0642183425,https://winnipegtransit.com/stops/51069,51069,Northbound Evelyne Reese at Bonaventure,0,51069
49.8246473977,,-97.0638054216,https://winnipegtransit.com/stops/51068,51068,Northbound Evelyne Reese at Geneva,0,51068
49.8227019228,,-97.0545398104,https://winnipegtransit.com/stops/51065,51065,Westbound Jack Reimer at De La Seigneurie,0,51065
49.8248653886,,-97.0548145295,https://winnipegtransit.com/stops/51064,51064,Southbound De La Seigneurie at Lucerne,0,51064
49.881979573,,-97.0787464812,https://winnipegtransit.com/stops/50640,50640,Westbound Marion at Turenne,0,50640
49.8870807546,,-97.1221063115,https://winnipegtransit.com/stops/50641,50641,Eastbound Despins at Valade,0,50641
49.8288387259,,-97.0434612263,https://winnipegtransit.com/stops/51061,51061,Southbound Des Hivernants at Ironweed,0,51061
